1	['WP_000042269.1']
2	['WP_000086647.1', 'WP_011080399.1']
3	['WP_000128772.1', 'WP_056977517.1', 'WP_104617620.1', 'WP_223289975.1', 'WP_117582307.1', 'WP_128818697.1', 'WP_013417058.1', 'WP_013697865.1', 'WP_155430822.1']
4	['WP_000134999.1', 'WP_048930634.1', 'WP_227621487.1', 'WP_209796516.1']
5	['WP_000146253.1', 'WP_241163553.1']
6	['WP_000201394.1']
7	['WP_000243502.1']
8	['WP_000352021.1']
9	['WP_000381185.1']
10	['WP_000435044.1', 'WP_239307334.1', 'WP_224212940.1', 'WP_027504929.1', 'WP_186969070.1', 'WP_174267622.1', 'WP_005764689.1']
11	['WP_000447716.1', 'WP_055093680.1', 'WP_149647811.1', 'WP_010516943.1', 'WP_007286044.1', 'WP_206611076.1', 'WP_055093686.1', 'WP_161675189.1', 'WP_046304938.1', 'WP_177186673.1', 'WP_071428923.1', 'WP_206073758.1', 'WP_005055082.1', 'WP_309471334.1', 'WP_037284981.1', 'WP_258284088.1']
12	['WP_000451584.1', 'WP_094690991.1', 'WP_040051289.1']
13	['WP_000494921.1']
14	['WP_000578473.1']
15	['WP_000592085.1']
16	['WP_045973929.1', 'WP_188963089.1', 'WP_062889377.1', 'WP_139429297.1', 'WP_258256495.1', 'WP_271470259.1', 'WP_163920451.1', 'WP_074388881.1', 'WP_102968944.1', 'WP_049134569.1', 'WP_161451783.1', 'WP_283597786.1', 'WP_105514465.1', 'WP_212208607.1', 'WP_105655644.1', 'WP_192838606.1', 'WP_025129204.1', 'WP_114836358.1', 'WP_014821704.1', 'WP_223169928.1', 'WP_071534926.1', 'WP_023304962.1', 'WP_283021144.1', 'WP_182811768.1', 'WP_000597542.1', 'WP_187513547.1', 'WP_043036640.1', 'WP_212155416.1', 'WP_108131656.1', 'WP_244986301.1', 'WP_151798241.1', 'WP_104512443.1', 'WP_004458982.1', 'WP_060183782.1', 'WP_039734019.1', 'WP_257380728.1', 'WP_081255275.1', 'WP_168340598.1', 'WP_286315410.1', 'WP_033001958.1', 'WP_287364742.1', 'WP_152851720.1', 'WP_169170032.1', 'WP_287297085.1', 'WP_088619654.1', 'WP_286716157.1', 'WP_240309344.1', 'WP_069675844.1', 'WP_213011386.1', 'WP_107476308.1', 'WP_157897386.1', 'WP_117692443.1', 'WP_234389466.1', 'WP_182438175.1', 'WP_234328602.1', 'WP_234564329.1', 'WP_181434432.1', 'WP_229765221.1', 'WP_216541199.1', 'WP_260979411.1', 'WP_049232943.1', 'WP_156472273.1', 'WP_186208242.1', 'WP_143748826.1', 'WP_071624057.1', 'WP_154234420.1', 'WP_172373859.1', 'WP_232925765.1', 'WP_133244847.1', 'WP_212743067.1', 'WP_150705011.1', 'WP_206821798.1', 'WP_069675846.1']
17	['WP_000608644.1']
18	['WP_000614786.1', 'WP_127384871.1']
19	['WP_000618092.1']
20	['WP_000618533.1']
21	['WP_000639662.1', 'WP_058486218.1', 'WP_068912478.1', 'WP_134114729.1']
22	['WP_000660710.1']
23	['WP_000681297.1', 'WP_161832157.1', 'WP_096039490.1', 'WP_042535433.1', 'WP_201711510.1', 'WP_255223440.1', 'WP_015728889.1', 'WP_126791241.1', 'WP_144973279.1']
24	['WP_000744627.1']
25	['WP_000747846.1']
26	['WP_000789144.1']
27	['WP_000792719.1']
28	['WP_000799053.1', 'WP_126791236.1', 'WP_144973285.1', 'WP_004636716.1', 'WP_014614362.1', 'WP_042535429.1', 'WP_061774147.1', 'WP_056961599.1', 'WP_099301298.1', 'WP_166010029.1', 'WP_262950280.1', 'WP_029071062.1']
